ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Weather_Condition
A00001,CA,1,2022-06-18 17:49:04,2024-07-30 18:29:07,-22.58277860747475,-38.29121270012084,-22.744652675994274,-0.11871225754074999,36.49991554949852,Bit perform control.,Gonzalez Oval,Griffinstad,Kentucky,30599,Saint Vincent and the Grenadines,PST,LAX,2025-02-19 08:29:47,-17.991790894133437,13.814456837217392,60.93926309870537,Fog
A00002,UK,3,2021-03-26 18:49:38,2020-03-12 10:00:24,81.12857515378491,-9.563162624992287,-30.075822678347407,88.82883810453393,9.225599779935578,Action music able. Tell recognize imagine plan.,Douglas Flat,Nguyenhaven,Minnesota,97746,Cocos (Keeling) Islands,EST,LAX,2021-12-01 07:09:39,-22.102015153557392,-4.0707546465806885,3.89034677630975,Rain
A00003,UK,1,2020-09-20 07:31:47,2021-01-09 15:59:30,41.75890952605292,127.63706155278493,-58.29229574948519,22.560041036279927,17.331984718494308,Wonder who subject bad me training.,Pope Rest,North Courtneychester,Ohio,37117,Philippines,PST,ORD,2022-09-06 08:14:36,48.54495359667632,46.44985248639408,61.226034087673455,Fog
A00004,AU,1,2021-02-08 05:03:23,2025-05-03 10:27:57,17.758527155466595,-57.59842101843883,19.308000618267826,-150.0110700797533,33.164031842890914,Describe room popular activity.,Ward Mountain,Kruegerton,North Carolina,59481,Timor-Leste,MST,JFK,2022-11-15 15:28:34,95.59512192405812,-28.10215490157618,8.966860676411626,Snow
A00005,US,2,2020-07-30 04:24:49,2020-06-06 08:13:58,-61.916644720361425,133.07388653238166,-4.207651108446797,-113.19111475792006,24.104467226223996,Prevent already evidence else center range.,Paige Tunnel,Dwayneport,Maine,56136,Taiwan,MST,JFK,2023-05-18 05:14:08,35.353770164114124,8.78564159989407,71.03442385187473,Snow
A00006,US,1,2022-01-24 07:15:32,2020-09-25 01:56:33,-61.92098633948352,-148.27160484839106,65.82617861832065,-101.04185374886912,36.92855193174469,Through since ago dark past cause.,Hughes Ford,Lake Nicholasview,New Mexico,03229,Burundi,PST,DFW,2024-05-29 19:19:41,-23.303020627890334,20.021001499022262,39.00776465809306,Rain
A00007,US,3,2022-11-26 09:41:24,2023-08-09 19:11:19,-79.5449498097241,99.64743739510709,-84.22027551322951,-87.16886868785583,48.060395061142984,Still happen positive.,Caitlin Pike,Andersonburgh,Kentucky,30081,Switzerland,CST,ORD,2020-10-05 12:35:07,-1.241574709930699,32.55644893453817,83.76964915685187,Cloudy
A00008,CA,3,2022-08-18 22:20:14,2020-05-07 01:13:12,65.91170623948832,125.11714789970506,25.896226959922743,23.54522110218153,5.827334385759874,Security director point condition.,Stephanie Glen,Tylerhaven,Mississippi,74234,Botswana,PST,ORD,2024-11-16 04:50:55,1.8230778340501885,-9.302896957199295,94.25292452651306,Cloudy
A00009,UK,3,2023-10-31 10:52:07,2023-07-01 20:25:38,18.20070211377758,-114.54564497855804,47.330798132081014,1.4276807371416567,35.478385819903046,Design analysis story.,Davis Course,Scottborough,West Virginia,12520,Hungary,CST,ATL,2021-04-05 04:21:24,13.921426787803497,18.69219076574815,41.7110341465609,Rain
A00010,US,3,2021-05-08 09:41:20,2024-04-06 10:05:08,37.45306400328819,-25.07524834600784,46.70758245389527,-106.86238618888478,11.517207781605727,Low quality describe. Serious number rise news.,Baker Junctions,Christopherview,South Dakota,25139,Falkland Islands (Malvinas),CST,DFW,2021-04-07 16:34:20,-24.331560133792358,-19.679852861571725,46.05552954737462,Cloudy
A00011,US,2,2023-07-06 17:54:02,2022-02-21 10:22:52,-86.29479102675556,-120.42008112108397,69.49331407719453,-155.68025635595265,20.72383637037846,Make point go write.,Laura Greens,Ashleyfort,South Carolina,12731,Slovenia,MST,ORD,2020-12-15 15:25:55,87.63605106472912,-6.452390763817974,59.014758101285025,Clear
A00012,US,3,2023-08-10 23:08:22,2022-10-31 14:13:08,84.58377338915898,74.3774864379184,41.226073709308935,-118.28440638910149,1.6431362897569912,At president center become teacher guess.,Johnson Glen,Port Amyshire,North Dakota,79038,Bhutan,PST,DFW,2021-12-28 02:21:45,37.02331281379438,39.56271312033992,19.713272185805053,Cloudy
A00013,UK,3,2023-11-18 11:43:02,2020-11-15 03:06:50,59.839675344075914,12.725196502196411,77.00581109658535,174.3772725426972,6.795369114634947,Material black will bar name receive.,Marissa Corner,Kennethton,Michigan,70768,United Kingdom,CST,ATL,2021-10-05 05:10:52,57.22100308403418,44.99076093309543,92.73328408283614,Clear
A00014,US,2,2022-05-14 16:50:56,2020-09-27 12:47:45,-51.77896007791029,48.71640481499557,-30.12181203223954,-11.323098075069993,15.988864452444984,List minute end mind sign once trade.,Scott Parks,North David,Wyoming,86876,Greece,EST,LAX,2024-02-25 00:19:49,-21.267531203648836,21.881734692726468,43.29999265013726,Cloudy
A00015,CA,1,2020-02-27 04:32:36,2024-02-22 20:45:30,-57.27150590272189,-109.26469189576399,0.5776950152777545,132.2443816927605,17.099290264399247,Which truth live experience cost billion could.,West Road,New Lisabury,Wyoming,97328,South Georgia and the South Sandwich Islands,EST,ORD,2024-08-22 09:44:01,-22.964989185525578,-12.564810922381497,16.68203359160073,Clear
A00016,AU,1,2022-09-29 07:09:26,2025-01-11 18:51:18,-56.98718822638191,-103.77148966112897,-87.46566060907968,125.55088800078357,44.97926082310479,Occur early best wear food turn top.,Rebecca Light,Valenciaburgh,New York,46418,Honduras,CST,LAX,2021-11-02 20:19:43,46.240810365271145,32.00577899746641,76.2731833418884,Fog
A00017,UK,3,2023-04-20 09:11:54,2024-06-17 13:37:08,-35.23639626728321,-165.06096281643372,-88.74763428540759,4.14704068663454,37.09064546332576,Office job seek physical force share.,Angela Stravenue,Andersonton,Vermont,09101,Guernsey,EST,ORD,2025-04-20 02:58:33,85.34848136554704,-47.41329182745798,21.91513724439852,Snow
A00018,AU,1,2023-09-29 21:44:30,2021-12-24 16:46:08,4.456157693802808,-64.05568732953729,-46.77720831872642,74.40757504579565,48.60914840935205,Quickly movement upon because week hit.,Crystal Views,Davisborough,Nebraska,66664,Norfolk Island,MST,JFK,2022-01-22 04:13:35,38.702660124741115,-39.7254089460579,14.352927507185498,Fog
A00019,CA,1,2020-07-23 12:23:17,2020-09-19 18:41:43,-12.249896644419167,21.50807808012297,-71.85470451496465,-110.60927625142358,29.953575516762026,Sense full save outside girl western.,Soto Trail,South Susanview,Pennsylvania,57498,Niue,EST,LAX,2022-07-23 18:44:50,84.11649243410929,16.137373637536115,56.287207549400705,Cloudy
A00020,UK,1,2024-03-13 19:15:08,2023-11-11 17:36:01,-37.57875476435245,128.8565690390384,-43.16195377156435,67.82281377368699,12.085686604565899,Hear party reflect score quite national fly.,Joseph Inlet,Keithland,Washington,19793,Isle of Man,MST,LAX,2025-02-23 20:32:46,75.4288654971811,-20.875142472994256,67.14952552915908,Cloudy
